层级,问,维度号,维度,检查点号,检查点,判定,证据类型,证据指针,扣分下限,扣分上限,备注
P,全题,1,论文摘要与整体结构,1.1,摘要字数,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.2,摘要结构,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.3,方法名称专业,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.4,结果精确数值,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.5,改进点明确,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.6,对比验证结果,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.7,关键词,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.8,整体结构完整,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.9,独立灵敏度章节,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.10,独立评价章节,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.11,独立稳健性章节,◻,,,0.0,0.0,
P,全题,1,论文摘要与整体结构,1.12,附录丰富,◻,,,0.0,0.0,
B,全题,2,问题分析与重述,2.1,问题重述不抄题,✅,,,0.0,0.0,
B,全题,2,问题分析与重述,2.2,数学语言表述,✅,,,0.0,0.0,
B,全题,2,问题分析与重述,2.3,子问题数学本质,✅,,,0.0,0.0,
B,全题,2,问题分析与重述,2.4,逻辑框架图,✅,,,0.0,0.0,
B,全题,2,问题分析与重述,2.5,数据需求识别,✅,,,0.0,0.0,
B,全题,2,问题分析与重述,2.6,问题背景理解,✅,,,0.0,0.0,
B,全题,2,问题分析与重述,2.7,问题难点分析,✅,,,0.0,0.0,
B,全题,2,问题分析与重述,2.8,建模思路清晰,✅,,,0.0,0.0,
B,全题,3,模型假设与符号说明,3.1,假设数量,✅,,,0.0,0.0,清单13条(含H11-H13基础前提)
B,全题,3,模型假设与符号说明,3.2,假设合理性,✅,,,0.0,0.0,
B,全题,3,模型假设与符号说明,3.3,假设必要性,✅,,,0.0,0.0,
B,全题,3,模型假设与符号说明,3.4,假设明确性,✅,,,0.0,0.0,
B,全题,3,模型假设与符号说明,3.5,假设与模型对应,✅,,,0.0,0.0,
B,全题,3,模型假设与符号说明,3.6,假设依据,✅,,,0.0,0.0,
B,全题,3,模型假设与符号说明,3.7,符号表完整,✅,,,0.0,0.0,
B,全题,3,模型假设与符号说明,3.8,符号有单位,✅,,,0.0,0.0,
B,全题,3,模型假设与符号说明,3.9,符号统一,✅,,,0.0,0.0,
B,全题,3,模型假设与符号说明,3.10,符号表格式,✅,,,0.0,0.0,
B,全题,4,模型建立,4.1,推导严谨,✅,,,0.0,0.0,推导不跳步/引理证明
B,全题,4,模型建立,4.2,公式数量充足,⚠️,E-E,temp/_formula_inventory.md:1-40,0.0,0.0,"【v2】A-06 清点：展示公式块 73 个（54 已带 tag）。内部判据给出**两档**——**底线 ≥30**（两份判据一致）／**理想 ≈200**（国奖级）⟹ **底线已达标**；⚠️ 的依据是**距理想值仍有差距**，建议写作时展开推导（目标 130+）。**本轮主动从严保留 ⚠️**（属自我从严，非""数量不足""）"
B,全题,4,模型建立,4.3,公式编号,✅,E-E,temp/_formula_inventory.md:41-,0.0,0.0,【v2】A-06 已产编号方案（按章节 式(1-3)、(4-7)…）⟹ 素材齐备、成稿可直接执行
B,全题,4,模型建立,4.4,公式规范,◻,,,0.0,0.0,公式编辑器属成稿
B,全题,4,模型建立,4.5,机理分析深入,🏆,,,0.0,0.0,A题必查：从传热传质基本方程出发
B,全题,4,模型建立,4.6,坐标系建立,✅,,,0.0,0.0,柱坐标r＋物料坐标ξ
B,全题,4,模型建立,4.7,问题特化策略,🏆,,,0.0,0.0,物料坐标固定域化/积分平均/事件二分
B,全题,4,模型建立,4.8,算法改进深度,🏆,,,0.0,0.0,精确推进/M6/预估-校正
B,全题,4,模型建立,4.9,改进有依据,✅,,,0.0,0.0,
B,全题,4,模型建立,4.10,改进有效果,✅,,,0.0,0.0,效果量化(h=1s vs 60s)
B,全题,4,模型建立,4.11,算法匹配问题,✅,,,0.0,0.0,非网红模型
B,全题,4,模型建立,4.12,多问题递进统一,✅,,,0.0,0.0,Q1→Q2→Q3→Q4四把旋钮
B,全题,4,模型建立,4.13,目标函数明确,∅,,,0.0,0.0,本题非优化问题
B,全题,4,模型建立,4.14,约束条件完整,∅,,,0.0,0.0,本题非优化问题
B,全题,4,模型建立,4.15,公式文字说明,✅,,,0.0,0.0,推导文档逐式说明
Q,全题,5,算法选择与模型求解,5.1,求解过程清晰,✅,,,0.0,0.0,
Q,全题,5,算法选择与模型求解,5.2,参数设置说明,✅,,,0.0,0.0,ω/tol/maxit/N/子步均有依据
Q,全题,5,算法选择与模型求解,5.3,收敛性分析,✅,,,0.0,0.0,时间三档＋GCI
Q,全题,5,算法选择与模型求解,5.4,计算复杂度分析,✅,,,0.0,0.0,墙钟/Picard次数
Q,全题,5,算法选择与模型求解,5.5,双方法验证,🏆,,,0.0,0.0,解析对拍＋独立实现＋跨驱动
Q,全题,5,算法选择与模型求解,5.6,结果完整,✅,,,0.0,0.0,中间量/断言/收敛表
Q,全题,5,算法选择与模型求解,5.7,初始解说明,∅,,,0.0,0.0,非启发式算法
Q,全题,5,算法选择与模型求解,5.8,停止条件,✅,,,0.0,0.0,tol/maxit/熔断240h
Q,全题,5,算法选择与模型求解,5.9,代码附录,✅,,,0.0,0.0,88脚本入支撑材料
Q,全题,5,算法选择与模型求解,5.10,求解效率,✅,,,0.0,0.0,墙钟304–487s等
B,全题,6,结果分析与数据可视化,6.1,图表规范,◻,,,0.0,0.0,成品图待渲染(K-2)
B,全题,6,结果分析与数据可视化,6.2,图表类型匹配,◻,,,0.0,0.0,成品图待渲染(K-2)
B,全题,6,结果分析与数据可视化,6.3,图表专业美观,◻,,,0.0,0.0,成品图待渲染(K-2)
B,全题,6,结果分析与数据可视化,6.4,图表正文引用,◻,,,0.0,0.0,正文引用属成稿
B,全题,6,结果分析与数据可视化,6.5,表格规范,◻,,,0.0,0.0,论文表属成稿
B,全题,6,结果分析与数据可视化,6.6,图表数量充足,✅,E-C,30_图表/01_图表总规划/A_图表总规划.md,0.0,0.0,【v2】总规划 50 张＋规格卡 51（未出卡 0）＋图数据 49
B,全题,6,结果分析与数据可视化,6.7,结果分析深度,✅,,,0.0,0.0,"结果与分析含""意味什么"""
B,全题,6,结果分析与数据可视化,6.8,多方案对比,✅,,,0.0,0.0,取法×网格/fixR/D6/时间空间档
B,全题,6,结果分析与数据可视化,6.9,结果可视化,◻,,,0.0,0.0,成品图待渲染(K-2)
B,全题,6,结果分析与数据可视化,6.10,结果与问题对应,✅,,,0.0,0.0,四问逐条对应题面
B,全题,7,模型检验与灵敏度分析,7.1,独立灵敏度章节,✅,,,0.0,0.0,06_可靠性与方法学独立成篇
B,全题,7,模型检验与灵敏度分析,7.2,灵敏度覆盖多参数,✅,,,0.0,0.0,OAT ±20%＋Morris/Sobol/PRCC
B,全题,7,模型检验与灵敏度分析,7.3,灵敏度可视化,✅,,,0.0,0.0,龙卷风/热力图数据齐(F-13/31/35/43)
B,全题,7,模型检验与灵敏度分析,7.4,灵敏度分析说明,✅,,,0.0,0.0,参数重要度排序＋交互作用
B,全题,7,模型检验与灵敏度分析,7.5,误差分析,✅,,,0.0,0.0,GCI＋误差带＋不确定度
B,全题,7,模型检验与灵敏度分析,7.6,误差可接受判断,✅,,,0.0,0.0,误差带量级≤1e-4
B,全题,7,模型检验与灵敏度分析,7.7,稳健性检验,✅,,,0.0,0.0,数据扰动/方法对比/取法对照
B,全题,7,模型检验与灵敏度分析,7.8,交叉验证,∅,,,0.0,0.0,本题非机器学习
B,全题,7,模型检验与灵敏度分析,7.9,对比验证,✅,,,0.0,0.0,E3-g退化自检＋解析对拍
B,全题,7,模型检验与灵敏度分析,7.10,收敛性检验,✅,,,0.0,0.0,时间/空间三档
B,全题,7,模型检验与灵敏度分析,7.11,检验全面系统,🏆,,,0.0,0.0,实际8–10项且独立成节
B,全题,7,模型检验与灵敏度分析,7.12,检验结果有结论,✅,,,0.0,0.0,四问均有可靠性结论
P,全题,8,模型评价与优缺点分析,8.1,优点具体有数据,✅,,,0.0,0.0,优点全部带数
