层级,问,维度号,维度,检查点号,检查点,判定,证据类型,证据指针,扣分下限,扣分上限,备注
P,全题,1,论文摘要与整体结构,1.1,四要素齐备（问题→方法→结果→结论）,🏆,E-E,50_论文/02_章节稿/成文/A_02_摘要.md:41-53,0.00,0.00,结论段与定位句齐备
P,全题,1,论文摘要与整体结构,1.2,每问≥1–2 个对比性数字,✅,E-E,50_论文/02_章节稿/成文/A_02_摘要.md:43-49,0.05,0.10,Q1–Q4 逐段带端点值
P,全题,1,论文摘要与整体结构,1.3,关键词 3–5 个且覆盖模型/方法/应用,🏆,E-E,50_论文/02_章节稿/成文/A_03_关键词.md:3,0.00,0.00,恰 5 个，与摘要逐字同形
P,全题,1,论文摘要与整体结构,1.4,字数落在 800–1200 字（国奖级区间）,✅,E-E,50_论文/02_章节稿/成文/A_02_摘要.md:38-56,0.05,0.10,实测 862 汉字（LATEX-EXPORT 正文段），落在区间内
P,全题,1,论文摘要与整体结构,1.5,分问段落结构与逻辑顺序,✅,E-E,50_论文/02_章节稿/成文/A_02_摘要.md:43-51,0.05,0.10,四问各一段＋检验段＋改进段
P,全题,1,论文摘要与整体结构,1.6,关键结果带精度与不确定度,✅,E-E,50_论文/02_章节稿/成文/A_02_摘要.md:47-49,0.05,0.10,误差带与主导项归属齐备
P,全题,1,论文摘要与整体结构,1.7,摘要禁项（无公式/引用/加粗/分点符号）,✅,E-E,50_论文/02_章节稿/成文/A_02_摘要.md:38-56,0.05,0.10,实测 0 命中
P,全题,1,论文摘要与整体结构,1.8,摘要专用页 ≤1 页且不跨页,✅,E-D,50_论文/04_交排版成图方/交付排版方论文/main.aux,0.05,0.10,编译实测 p1
P,全题,1,论文摘要与整体结构,1.9,改进点带效果量化,✅,E-E,50_论文/02_章节稿/成文/A_02_摘要.md:53,0.05,0.10,机制＋效果成对
P,全题,1,论文摘要与整体结构,1.10,摘要与正文口径一致（术语/时间格式/干基）,✅,E-E,50_论文/02_章节稿/成文/A_02_摘要.md:41-53,0.05,0.10,与第五章同形
P,全题,1,论文摘要与整体结构,1.11,全文结构完整（七章＋声明＋参考文献＋附录）,🏆,E-E,50_论文/04_交排版成图方/交付排版方论文/main.tex:11-22,0.00,0.00,结构闭环
P,全题,1,论文摘要与整体结构,1.12,无绝对化与空洞表述,✅,E-E,50_论文/02_章节稿/成文/A_02_摘要.md:38-56,0.05,0.10,实测 0 命中
B,全题(取各问最差),2,问题分析与重述,2.1,不照抄题面（连续 8 字重合尽量少）,🏆,E-E,50_论文/02_章节稿/成文/A_04_问题重述.md:83,0.00,0.00,实测 1 处且属不可回避
B,全题(取各问最差),2,问题分析与重述,2.2,数学语言改写（耦合非稳态/非线性来源）,✅,E-E,50_论文/02_章节稿/成文/A_04_问题重述.md:37,0.05,0.10,定性已数学化
B,全题(取各问最差),2,问题分析与重述,2.3,四问要素对照表（同一模型×四组旋钮）,🏆,E-E,50_论文/02_章节稿/成文/A_05_问题分析.md:63-71,0.00,0.00,表 2-1
B,全题(取各问最差),2,问题分析与重述,2.4,逐问点明与上一问的实质差别,✅,E-E,50_论文/02_章节稿/成文/A_04_问题重述.md:39-45,0.05,0.10,四问各一句
B,全题(取各问最差),2,问题分析与重述,2.5,总体技术路线交代（守恒→离散→验证）,✅,E-E,50_论文/02_章节稿/成文/A_05_问题分析.md:39,0.05,0.10,
B,全题(取各问最差),2,问题分析与重述,2.6,分析只讲“怎么想”、与第五章去重,✅,E-E,50_论文/02_章节稿/成文/A_05_问题分析.md:10,0.05,0.10,已声明不放结论
B,全题(取各问最差),2,问题分析与重述,2.7,数据与几何需求明确,✅,E-E,50_论文/02_章节稿/成文/A_04_问题重述.md:51-61,0.05,0.10,表 1-1 七项
B,全题(取各问最差),2,问题分析与重述,2.8,判据执行方式说明（严格小于）,✅,E-E,50_论文/02_章节稿/成文/A_04_问题重述.md:63,0.05,0.10,步级判定已交代
B,全题(取各问最差),3,模型假设与符号说明,3.1,假设条数符合国奖区间（8–15）,✅,E-E,50_论文/02_章节稿/成文/A_06_模型假设.md:42-62,0.03,0.06,八条连续编号
B,全题(取各问最差),3,模型假设与符号说明,3.2,每条含合理性依据,✅,E-E,50_论文/02_章节稿/成文/A_06_模型假设.md:42-62,0.03,0.06,8/8
B,全题(取各问最差),3,模型假设与符号说明,3.3,每条含适用前提与失效后果,🏆,E-E,50_论文/02_章节稿/成文/A_06_模型假设.md:38-62,0.00,0.00,8/8 含失效后果
B,全题(取各问最差),3,模型假设与符号说明,3.4,假设与模型有落点,✅,E-E,50_论文/02_章节稿/成文/A_06_模型假设.md:87,0.03,0.06,逐条落点可核
B,全题(取各问最差),3,模型假设与符号说明,3.5,假设 1 长径比/端面效应依据充分性,✅,E-E,50_论文/02_章节稿/成文/A_06_模型假设.md:42; kb/source/联网搜索/摘要_食品等温干燥收缩移动边界模型_一维与二维对比_Adrover_JFPE2019.md:20-22,0.03,0.06,【复核轮已修复】A_06 假设 1 已显式披露：文献 [14] 判据为 L0/R0>15（<5% 误差）而本题 12.5，误差方向与量级指向第七章不足 2
B,全题(取各问最差),3,模型假设与符号说明,3.6,假设 8 仿射收缩依据与可量化特例,✅,E-E,50_论文/02_章节稿/成文/A_06_模型假设.md:62,0.03,0.06,各向同性率＝1 特例
B,全题(取各问最差),3,模型假设与符号说明,3.7,符号表齐备（3 列 22 符号行）,✅,E-E,50_论文/02_章节稿/成文/A_07_符号说明.md:42-62,0.03,0.06,7 组 22 行
B,全题(取各问最差),3,模型假设与符号说明,3.8,单位为呈现口径且声明与内部 SI 关系,🏆,E-E,50_论文/02_章节稿/成文/A_07_符号说明.md:64,0.00,0.00,表下注三条
B,全题(取各问最差),3,模型假设与符号说明,3.9,易混符号区分（h 两义、时间格式分问分场）,✅,E-E,50_论文/02_章节稿/成文/A_07_符号说明.md:64,0.03,0.06,已给区分方式
B,全题(取各问最差),3,模型假设与符号说明,3.10,干基含水率定义在首现处注明,✅,E-E,50_论文/02_章节稿/成文/A_07_符号说明.md:49,0.03,0.06,
B,全题(取各问最差),4,模型建立,4.1,控制方程取散度形式（兼容变物性）,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:69,0.00,0.00,式 (5-1)
B,全题(取各问最差),4,模型建立,4.2,导热系数位于散度算子内的必要性说明,🏆,E-E,50_论文/02_章节稿/成文/A_08_模型建立与求解.md:71,0.00,0.00,已警示“k 乘拉普拉斯”不等价
