relpath,category,detail
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——0-1整数规划\0-1整数规划的MATLAB源码.zip,normal,普通资料包（2 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——0-1整数规划\0-1规划的两种求解（模拟退火及Lingo求解）.rar,normal,普通资料包（10 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——二次规划\二次规划Matlab程序.rar,normal,普通资料包（1 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——二次规划\序列二次规划法及matlab代码.zip,normal,普通资料包（15 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——动态规划\动态规划解决背包问题 MATLAB.zip,normal,普通资料包（3 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——单目标规划与多目标规划\单目标优化（含约束）.zip,normal,普通资料包（2 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——整数规划\整数规划：分支定界算法代码.zip,normal,普通资料包（4 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——整数规划\整数规划：割平面算法代码.zip,normal,普通资料包（2 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——模拟退火算法\模拟退火工具箱satools.zip,normal,普通资料包（90 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——模拟退火算法\模拟退火算法.rar,normal,普通资料包（6 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——模拟退火算法\模拟退火算法的matlab示例.zip,normal,普通资料包（20 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——粒子群算法\粒子群算法优化RBF网络.rar,normal,普通资料包（7 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——粒子群算法\粒子群算法遗传算法学习资料+工具箱+代码.zip,normal,普通资料包（49 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——线性规划模型\01型整数线性规划.zip,normal,普通资料包（7 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——线性规划模型\线性规划.rar,normal,普通资料包（8 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——遗传算法\基于 python 实现的遗传算法解决旅行商（TSP）问题.zip,normal,普通资料包（34 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——随机规划\基于遗传算法的随机规划（matlab）.zip,normal,普通资料包（10 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——非线性规划\第6讲 非线性规划.rar,normal,普通资料包（17 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——非线性规划\非线性规划.rar,normal,普通资料包（17 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备模型——微分方程及差分方程模型和代码\微分方程_MATLAB智能算法代码.zip,normal,普通资料包（23 条目，无可执行文件）
数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备模型——蒙特卡洛模型和代码\用蒙特卡洛法实现对排队等待问题模拟代码【数学建模老哥】.rar,normal,普通资料包（11 条目，无可执行文件）
