层级,问,维度号,维度,检查点号,检查点,判定,证据类型,证据指针,扣分下限,扣分上限,备注
P,全题,1,论文摘要与整体结构,1.1,四要素齐备（问题→方法→结果→结论）,✅,E-E,A_02_摘要.md:41-53,0.015,0.015,
P,全题,1,论文摘要与整体结构,1.2,字数 862 汉字（国奖级 800–1200）,✅,E-E,A_02_摘要.md:41-53（实测 862 汉字）,0.015,0.015,
P,全题,1,论文摘要与整体结构,1.3,每问 ≥2 个对比性数字,✅,E-E,A_02:43-49（Q1 33.5753／36.7855／40.8%；Q2 30.7%／60.5%；Q3 57.53 h／33.5 h；Q4 50.6523／129.48／61%）,0.015,0.015,
P,全题,1,论文摘要与整体结构,1.4,关键词 5 个、覆盖模型／方法／应用,✅,E-E,A_03_关键词.md:3 与 A_02:55 逐字同形,0.015,0.015,
P,全题,1,论文摘要与整体结构,1.5,方法带关键参数（网格／子步／松弛因子）,🏆,E-E,A_02:43-45（0.25 mm／0.1 s／0.7／1-32 s）,0.000,0.000,国奖级特征
P,全题,1,论文摘要与整体结构,1.6,关键结果并列写不确定度,🏆,E-E,A_02:47-49（Q3 ±0.08 h、Q4 ±0.0249 h、外推 43–66%／16.8–55.1%）,0.000,0.000,国奖级特征
P,全题,1,论文摘要与整体结构,1.7,无公式、无引用标注、无分点符号,✅,E-E,A_02 实测：无公式定界符、无 [n]、无 ①②,0.015,0.015,
P,全题,1,论文摘要与整体结构,1.8,分问成段（4 段）＋首段总述,✅,E-E,A_02:41-53,0.015,0.015,
P,全题,1,论文摘要与整体结构,1.9,改进项给“改了什么＋效果”,✅,E-E,A_02:53（7 项机制，含误差归零／成本下降／可迁移）,0.015,0.015,
P,全题,1,论文摘要与整体结构,1.10,诚实性声明（先验主观／未做多模型融合）,✅,E-E,A_02:47,53,0.015,0.015,
P,全题,1,论文摘要与整体结构,1.11,摘要数值与正文／口径表逐项一致,✅,E-A,20_交付包/05_数值口径总表/A_数值口径总表.md（475 登记值）,0.015,0.015,
P,全题,1,论文摘要与整体结构,1.12,摘要专用页 ≤1 页且不跨页,✅,E-E,交付排版方论文/frontmatter/00_摘要页.tex＋main.aux（摘要 p1）,0.015,0.015,
B,全题,2,问题分析与重述,2.1,四问重述自拟措辞（连续 8 字重合 ≤1 处）,✅,E-E,A_04_问题重述.md:39-45,0.009,0.009,
B,全题,2,问题分析与重述,2.2,重述含数学定性（耦合非稳态）,✅,E-E,A_04:37,0.009,0.009,
B,全题,2,问题分析与重述,2.3,逐问点明与上一问的实质差别,✅,E-E,A_04:41-45,0.009,0.009,
B,全题,2,问题分析与重述,2.4,数学本质与任务性质（抛物型／正演反演／非优化）,⚠️,E-E,A_05_问题分析.md（仅见“移动边界／反演”，未见“抛物型／正演”与“非优化问题”表述）,0.047,0.047,对照《02_章节稿》同章已写明
B,全题,2,问题分析与重述,2.5,选型判据链（毕奥数三区间分档）,⚠️,E-E,A_05（只给 Bi 取值与“一阶量级”，未给 0.1／100 分档与随进程走向）,0.047,0.047,
B,全题,2,问题分析与重述,2.6,数据条件段（自包含＋外推声明）,⚠️,E-E,A_05（数据条件散见于 5.1.1，未设独立数据条件段）,0.047,0.047,
B,全题,2,问题分析与重述,2.7,与假设的接口（仿射收缩的设定来源）,⚠️,E-E,A_06:62 假设 8（有依据与适用前提，但未在问题分析处交代来源）,0.047,0.047,
B,全题,2,问题分析与重述,2.8,四问要素对照表＋表前置引用句,✅,E-E,A_05 表 2-1（四问五要素）,0.009,0.009,
B,全题,3,模型假设与符号说明,3.1,假设条数 8 条（A 题国奖级 8–15）,🏆,E-E,A_06_模型假设.md（实测 8 条）,0.000,0.000,国奖级特征
B,全题,3,模型假设与符号说明,3.2,每条假设给依据（物理／数学／文献）,✅,E-E,A_06 各条“依据：”段,0.009,0.009,
B,全题,3,模型假设与符号说明,3.3,假设必要性（无冗余、无与模型无关者）,✅,E-E,A_06 逐条对应模型环节,0.009,0.009,
B,全题,3,模型假设与符号说明,3.4,假设明确性（无模糊表述）,✅,E-E,A_06,0.009,0.009,
B,全题,3,模型假设与符号说明,3.5,假设与模型对应（每条在模型中有体现）,✅,E-E,A_06 ↔ A_08,0.009,0.009,
B,全题,3,模型假设与符号说明,3.6,适用前提／失效后果声明,✅,E-E,A_06:62（假设 8 适用前提）＋假设 1 已披露判据落差,0.009,0.009,
B,全题,3,模型假设与符号说明,3.7,符号表列齐（符号／含义／单位／取值／说明）,✅,E-E,A_07_符号说明.md（表 4-1）,0.009,0.009,
B,全题,3,模型假设与符号说明,3.8,符号覆盖全部变量（127 条）,✅,E-E,20_交付包/02_符号表/A_符号表.md（127 条）,0.009,0.009,
B,全题,3,模型假设与符号说明,3.9,符号与正文一致、无未定义符号,✅,E-E,50_论文/03_对照与索引/A_符号引用对照.md,0.009,0.009,
B,全题,3,模型假设与符号说明,3.10,无量纲数给定义式＋本题取值,✅,E-E,A_05（Bi_T＝hR0/k＝1.39、Bi_m＝kmR0/D＝3.24）,0.009,0.009,
B,Q1,4,模型建立,4.1,控制方程取散度形式（变物性正确）,🏆,E-E,A_08:式(5-1)＋“k 必须位于散度算子内”声明,0.000,0.000,四问共用形式
B,Q1,4,模型建立,4.2,定解条件齐（初值／中心对称／第三类边界）,✅,E-E,A_08:式(5-3)–(5-5),0.015,0.015,
B,Q1,4,模型建立,4.3,离散推导不跳步（元体平衡逐控制体）,✅,E-E,A_08:5.1.3,0.015,0.015,
B,Q1,4,模型建立,4.4,中心奇点两条独立装配路径＋解级比对,🏆,E-E,A_08:5.1.3（差异 2.8×10⁻¹⁴ K）,0.000,0.000,国奖级特征
B,Q2,4,模型建立,4.5,界面变系数取法由通量定义推出（积分平均）,🏆,E-E,A_08:5.2.3（调和平均高估 1.3–6.7% 作对照臂）,0.000,0.000,国奖级特征
