维度,编号,检查点,判定,证据指针
1,1.1,"摘要字数【国奖级】",✅,"00_摘要页.tex 实测 汉字 761 ＋ 数字/符号后合计 1077 字符 ⟹ 落 800–1200 区间（口径见报告 §3 注）"
1,1.2,"摘要结构",✅,"同上：背景段＋四问各自独立成段＋检验总述＋改进段＋关键词"
1,1.3,"方法名称专业【国奖级】",✅,"同上：矩阵指数／分段线性杜哈梅尔／后向欧拉＋追赶法／交替推进／事件驱动二分"
1,1.4,"结果精确数值【国奖级】",🏆,"摘要内 4 位小数数值 31 处（33.5753／49.8495／1.7662／57.53±0.08／50.6523±0.0249）"
1,1.5,"改进点明确【国奖级】",🏆,"摘要末段'本文的改进集中在数值格式与问题特化策略：…'（用'改进'）"
1,1.6,"对比验证结果【国奖级】",🏆,"摘要：'较固定半径情形加快约 61%'／'合计较问题三缩短 6.9 h'"
1,1.7,"关键词",✅,"00_摘要页.tex:24 \keywords 实测 5 个（3–5 ✓）"
1,1.8,"整体结构完整",✅,"main.tex:11-22：摘要→重述→分析→假设→符号→建模求解→检验→评价→AI声明→文献→附录"
1,1.9,"独立灵敏度章节【国奖级】",⚠️,"sections/06_模型检验.tex（11 小节）**无名为'灵敏度分析'的独立章**；灵敏度为其小节 —— 判据冲突见报告 §8"
1,1.10,"独立评价章节【国奖级】",✅,"sections/07_模型评价与推广.tex（独立章）"
1,1.11,"独立稳健性章节【国奖级】",⚠️,"无独立'稳健性检验'章；稳健性命中 3 次（本题 A 题；S3 该项标注'C 题必查'）"
1,1.12,"附录丰富【国奖级】",🏆,"10_附录.tex：3 节＋16 张表＋14 处 \srcfile 全文嵌入＋B.13 清单 118 项"
2,2.1,"问题重述不抄题",✅,"sections/01_问题重述.tex（43 行，己方语言重述，无整段抄题）"
2,2.2,"数学语言表述",✅,"01/02 章：明确未知量（t_dry／物性／界面取法）、判据、数据类型"
2,2.3,"子问题数学本质",🏆,"A_05_问题分析.md 命中'数学本质／抛物型／正演／反演'=True"
2,2.4,"逻辑框架图",✅,"图 5-1（总体建模流程图）＋图 02（四问递进关系图）"
2,2.5,"数据需求识别",✅,"A_05 数据条件段（命中=True）＋表 1-1 建模对象与给定数据"
2,2.6,"问题背景理解【国奖级】",✅,"01/02 章：产地加工背景＋圆柱非稳态'控制权由外向内迁移'"
2,2.7,"问题难点分析【国奖级】",✅,"A_05 难点段（低含水率端外推／移动边界／两场特征时间差 34 倍）"
2,2.8,"建模思路清晰",✅,"图 5-1＋02 章四问递进链（同一模型，四组口径差异）"
3,3.1,"假设数量",✅,"A_06：8 条（A 题期望 8–15）"
3,3.2,"假设合理性",✅,"A_06 逐条给依据（题面/物理常识/量级论证）"
3,3.3,"假设必要性",✅,"A_06：与四问口径一一对应，无冗余假设"
3,3.4,"假设明确性",✅,"A_06：每条为可检验的物理陈述"
3,3.5,"假设与模型对应",✅,"A_06 每条标注适用问次；与 05 章建模呼应"
3,3.6,"假设依据【国奖级】",🏆,"A_06 设'依据'列（题面给定/文献/量级）"
3,3.7,"符号表完整",✅,"A_07：表 0-1 共 22 符号行、7 组"
3,3.8,"符号有单位",✅,"A_07 第 3 列全列单位（cm／℃／kg·kg⁻¹／mm…）"
3,3.9,"符号统一",✅,"A_07 独立核验第 4 项：无表外符号；全文与表一致"
3,3.10,"符号表格式",✅,"A_07：三线表、表题在上、按类别分组"
4,4.1,"推导严谨",⚠️,"sections/05 编号式 13 个；有依据但**中间步骤未逐式展开**（对照经典长文推导密度偏低）"
4,4.2,"公式数量充足【国奖级】",⚠️,"实测 equation/align = 16 ＋ 行内 ≈123（合计 ≈139）＜ S3 期望'约 200'"
4,4.3,"公式编号",✅,"equation 16 个自动编号、连续、右对齐"
4,4.4,"公式规范",✅,"LaTeX 原生排版；符号与 A_07 表 0-1 一致"
4,4.5,"机理分析深入【国奖级】",🏆,"由守恒律散度形式出发（05 章），非套用现成模型"
4,4.6,"坐标系建立【国奖级】",🏆,"一维轴对称圆柱＋物料坐标 ξ=r/R(t)（05 章、图 48）"
4,4.7,"问题特化策略【国奖级】",🏆,"事件驱动终止＋子步级二分；物料坐标消除移动域插值；分场时间格式"
4,4.8,"算法改进深度【国奖级】",🏆,"时间方向精确推进（矩阵指数＋分段线性杜哈梅尔）取代加密步长"
4,4.9,"改进有依据【国奖级】",✅,"05 章给出选取理由与适用条件"
4,4.10,"改进有效果【国奖级】",🏆,"量化：步长 1 s 与 60 s 差 3.1×10⁻¹¹ ℃；达标时刻定位 10⁻³ s"
4,4.11,"算法匹配问题",✅,"机理型 A 题→守恒型 FVM＋隐式；无'堆砌高级模型'"
4,4.12,"多问题递进统一",✅,"同一模型四问递进（物性/耦合/判据/几何逐问加码），图 02"
4,4.13,"目标函数明确",∅,"本题为**正演＋反演**型任务（非优化），判据不适用"
4,4.14,"约束条件完整",∅,"同上：边界/初始/界面条件已在 05 章给全"
4,4.15,"公式文字说明",✅,"05 章每个编号式均有前置引入与后置含义说明"
5,5.1,"求解过程清晰",✅,"05 章：离散方案＋软件链＋每问主流程（附录 B 嵌入交付核）"
5,5.2,"参数设置说明",✅,"网格 0.25 mm／子步 0.1 s／1/32 s／ω=0.7／tol=10⁻¹⁰ 均给依据"
5,5.3,"收敛性分析【国奖级】",🏆,"图 5-5 a/b（四档网格与时间收敛）＋GCI；'收敛'命中 56"
5,5.4,"计算复杂度分析【国奖级】",⚠️,"实测'复杂度/计算成本/计算量'命中=True：有成本—精度口径，**未给复杂度阶**"
5,5.5,"双方法验证【国奖级】",🏆,"解析级数解对拍（图 A-2）＋独立实现互验（图 A-3）"
5,5.6,"结果完整",✅,"四问结果＋中间量＋约束满足（场量、达标时刻）齐备"
5,5.7,"初始解说明",∅,"非启发式算法（确定性时间推进），判据不适用"
5,5.8,"停止条件",✅,"事件驱动终止（全域 C<0.15）＋残差阈值 tol=10⁻¹⁰"
5,5.9,"代码附录",🏆,"附录 B：B.1–B.7 全文嵌入（14 处 \srcfile）＋模块头注释"
5,5.10,"求解效率",⚠️,"未给运行时间／内存实测值（仅有计算成本口径）"
6,6.1,"图表规范",✅,"图题按章编号、轴标签含单位、图例齐（15 图、\ref{fig:} 34 次）"
6,6.2,"图表类型匹配",✅,"趋势折线／收敛双对数／灵敏度龙卷风-热力-雷达／空间热力图"
6,6.3,"图表专业美观【国奖级】",✅,"绘图方交付版 PDF：思源黑体＋STIX 数学体，非截图、非默认配色"
6,6.4,"图表正文引用",✅,"实测 \ref{fig:}=34 ≥ 图 15；\ref{tab:}=34 ≥ 表 13 ⟹ 无未引用图表"
6,6.5,"表格规范",✅,"三线表 58 条 \toprule；表题在上、无竖线"
6,6.6,"图表数量充足【国奖级】",⚠️,"正文图 15＋表 13＝28 件；S3 参照'图引用≈47／表引用≈27.6'，本稿引用次数与件数均偏少"
6,6.7,"结果分析深度",✅,"5.5 结果分析小节化：跨问一致／效应分解／可靠边界"
6,6.8,"多方案对比【国奖级】",🏆,"表 5-1 选型对比＋四组对照（界面取法/网格/潜热/收缩）"
6,6.9,"结果可视化",✅,"关键结果均有图（收敛/误差带/外推 UQ/灵敏度）"
6,6.10,"结果与问题对应",✅,"四问结果对齐题面口径（表 1–6 强制表）"
7,7.1,"独立灵敏度章节【国奖级】",⚠️,"同 1.9：无独立'灵敏度分析'章（灵敏度为第六章小节）"
7,7.2,"灵敏度覆盖多参数【国奖级】",🏆,"OAT 多参数（'灵敏度'命中 51）＋全局灵敏度热力图/雷达图"
7,7.3,"灵敏度可视化【国奖级】",✅,"图 5-8 龙卷风图、图 27 热力图、图 47 雷达图"
7,7.4,"灵敏度分析说明【国奖级】",✅,"给出敏感性排序与机理解释"
7,7.5,"误差分析",🏆,"离散误差带＋GCI／Richardson＋残差（'误差'命中 54）"
7,7.6,"误差可接受判断",✅,"给出误差带与阈值对照（±0.08 h／±0.0249 h）"
7,7.7,"稳健性检验【国奖级】",✅,"边界不确定度散布（图 38）＋网格/界面取法扰动对照"
7,7.8,"交叉验证",∅,"非机器学习任务，判据不适用"
7,7.9,"对比验证【国奖级】",🏆,"解析解对拍（30 命中）＋独立实现互验（17 命中）"
7,7.10,"收敛性检验【国奖级】",✅,"图 5-5 a/b 四档收敛曲线"
7,7.11,"检验全面系统【国奖级】",🏆,"摘要：**十类检验**支撑结论（≥3 种且独立成章）"
7,7.12,"检验结果有结论",✅,"每类检验均给结论（可信/量级/边界）"
8,8.1,"优点具体有数据",✅,"07 章：优点带量化（误差归零／守恒残差量级）"
8,8.2,"不足诚实具体",🏆,"A_11：低含水率端外推贡献 43%–66% 如实声明（自认最大不确定性）"
8,8.3,"改进方向对应",✅,"A_11 逐条不足配改进方向"
8,8.4,"推广性分析【国奖级】",🏆,"A_11 推广段：同类圆柱/球对称扩散问题的适用条件与限制"
8,8.5,"客观不夸大",✅,"无'模型完美'表述；不确定性单列"
8,8.6,"独立评价章节【国奖级】",✅,"sections/07_模型评价与推广.tex"
8,8.7,"评价有对比【国奖级】",✅,"表 5-1 选型对比＋与简化模型对照"
8,8.8,"局限性说明【国奖级】",✅,"A_11 局限性段（外推适用上限／单机理模型边界）"
9,9.1,"改进点明确列出【国奖级】",✅,"摘要改进段＋05 章改进清单（①时间精确推进②事件驱动二分③物料坐标）"
9,9.2,"用'改进'不用'创新'【国奖级】",🏆,"全篇用'改进'（S3：优秀论文 5/5 用改进）"
9,9.3,"算法改进类【国奖级】",🏆,"对时间推进格式的针对性改进（矩阵指数＋杜哈梅尔分段线性）"
9,9.4,"问题特化策略类【国奖级】",🏆,"事件驱动达标时刻反演＋子步级二分（题面特性）"
9,9.5,"跨领域迁移类",⚠️,"未做跨领域迁移（单一机理模型；S3 记该点）"
9,9.6,"多模型融合类",⚠️,"未做多模型融合（摘要已声明'未采用多模型融合'；S8 伪创新风险下不立项）"
9,9.7,"改进具体【国奖级】",✅,"三处改进均写明'改了什么、怎么改'"
9,9.8,"改进有依据【国奖级】",✅,"给出适用条件与误差量级依据"
9,9.9,"改进有效果【国奖级】",🏆,"量化：时间离散误差归零（3.1×10⁻¹¹）／定位 10⁻³ s／耗时缩短 6.9 h"
9,9.10,"不是伪创新",🏆,"无换名、无堆砌；改进集中在格式与反演"
10,10.1,"数据质量审计",✅,"题面数据核对（表 1-1）＋三套物性参数对照（表 5-2）"
10,10.2,"缺失值处理策略",∅,"A 题无实测数据集（参数由题面与附录给全）"
10,10.3,"异常值区分处理",∅,"同上"
10,10.4,"特征工程【国奖级】",∅,"同上（非数据驱动任务）"
10,10.5,"探索性数据分析",✅,"物性初值对照＋量级分析（Bi 数、特征时间比 34 倍）"
10,10.6,"数据处理说明",✅,"参数取值与来源在口径表逐项登记"
