path,ext,size,md5,sha1,chars,note
2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx,.docx,88092,0f138fb6fc9cd37f75226fe9bd66e3fc,bdde3ec71457148082a401086360bab4013ea99e,24727,
2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx,.docx,108099,c030e5cecb167f1a935c5c1fa1e5a25c,af249bd9806445587789fa26d51a941ea4e1b8aa,37652,
2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,.docx,26213,8ae3e308837f1faf896197e63e0a11ce,3f7d30a6508782605bdeaec51a01d9621d3c6d35,3212,
2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx,.docx,69630,2d80da63444af1eb48fc2cadfe2e54d2,6a502c65cad23d7c23d6184483fde1dca5b6f258,18122,
2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\数学建模论文全维度自查与获奖预测提示词！（标准版）.docx,.docx,65776,e68a51d5911b811ee11f2ba4c6a766c9,734b7b19ca89fafebb6182606b76f58ad7b171a4,16520,
2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,.docx,26213,8ae3e308837f1faf896197e63e0a11ce,3f7d30a6508782605bdeaec51a01d9621d3c6d35,3212,
2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,.docx,88092,0f138fb6fc9cd37f75226fe9bd66e3fc,bdde3ec71457148082a401086360bab4013ea99e,24727,
2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,.docx,108099,c030e5cecb167f1a935c5c1fa1e5a25c,af249bd9806445587789fa26d51a941ea4e1b8aa,37652,
2026国赛AI助攻资料合集\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,.docx,26213,8ae3e308837f1faf896197e63e0a11ce,3f7d30a6508782605bdeaec51a01d9621d3c6d35,3212,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,.docx,26213,8ae3e308837f1faf896197e63e0a11ce,3f7d30a6508782605bdeaec51a01d9621d3c6d35,3212,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\数学建模论文撰写AI提示词.docx,.docx,26066,4d6ae1ff8c101f9a7ed4051ad151abb9,b940decfa0b6bb0deb53e2e4012106aeb01c552f,3968,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\数学建模问题求解AI提示词.docx,.docx,23193,06ac88c48cc2c2a78f026a7a43c9e141,9050eef1e232e868c718a21c93d41fbcf1650305,2596,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\（最新版）AI+数学建模万能建模求解提示词.docx,.docx,20114,5d461efcb1bb7b024341ffadf4f60d65,7aeb5f4958a3c91dbe08bbe3135b0e3d93db8b98,2346,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\10、附录十：美赛E题（环境科学类）通用AI提示词.docx,.docx,27061,bec16cb042955f1f7e0fe6b8d1a16bc6,d49222090dd992e6670bf3b01d9b3e1b6eb6e3f0,6784,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\11、附录十一：美赛F题（政策与社会类）通用AI提示词.docx,.docx,26919,9b4e9b527c0bdeef3baa3a255df9369d,35cfc9d497944087fd291558de902a46cfaa35ab,6778,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\12、附录十二：美赛A题（连续型问题）数学建模论文撰写AI提示词.docx,.docx,24923,5a951b3c65e009f1016beae8a971e024,b51c12493628ed8c3cd75f32505e7e946b94e4f3,5865,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\13、附录十三：美赛B题（离散型问题）数学建模论文撰写AI提示词.docx,.docx,25117,3fdf63be36025f62c69ac4f3456d6cb3,b8c449ff450cb44b668729aaa4e312ff6c5a3388,5657,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\14、附录十四：美赛C题（大数据分析类）数学建模论文撰写AI提示词.docx,.docx,24529,1b6eb4d72c4ba2584c961f602a087690,8023195b3a5d2b9cac8aed7c7582a24d12e4477c,5724,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\15、附录十五：美赛D题（运筹学网络优化类）数学建模论文撰写AI提示词.docx,.docx,24956,3a2a7ff7a81025db79c433921d103629,ec8808fbd4cbbb7820f76c9b056ef06a4a3543bb,5937,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\16、附录十六：美赛E题（环境科学类）数学建模论文撰写AI提示词.docx,.docx,23537,0245ce493bb4ded3799f4db1cd4a4f81,0ba386fc8c49e50c0297e3c4cab8036054466c69,4822,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\17、附录十七：美赛F题（政策与社会类）数学建模论文撰写AI提示词.docx,.docx,24706,8950ff87ed13d09ca2c8291b41cd8bfe,fb58de94bf3726c547a3256e6643e2f3ca3c60e9,5934,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\1、附录一：数学建模美赛数据预处理AI提示词.docx,.docx,22028,d18165e002e38d8e35fae37c9089c7f1,ba2b8963b247bbf745b78f6b7219826cf97d5749,2822,
2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\17套！AI+数学建模提示词汇总！\2026美赛（MCM_ICM）全维度赛题分析AI精准提示词.docx,.docx,15678,6e73cb2024d3c4dd6022fb5cbfe21e96,beb7229be2d38b9bbf0fe1750b0bf26948550d94,1110,
